code,name,type,state
3209,全科,,上市
3211,順達,,上櫃
3213,茂訊,,上櫃
3217,優群,,上櫃
3218,大學光,,上櫃
3219,倚強股份,,上櫃
3221,台嘉碩,,上櫃
3224,三顧,,上市
3226,至寶電,,上櫃
3227,原相,,上櫃
3228,金麗科,,上市
3229,晟鈦,,上櫃
3230,錦明,,上櫃
3231,緯創,,上櫃
3232,昱捷,,上櫃
3234,光環,,上櫃
3236,千如,,上市
3252,海灣,,上櫃
3257,虹冠電,,上市
3259,鑫創,,上市
3260,威剛,,上櫃
3264,欣銓,,上櫃
3265,台星科,,上櫃
3266,昇陽,,上市
3268,海德威,,上市
3272,東碩,,上市
3276,宇環,,上櫃
3284,太普高,,上櫃
3285,微端,,上市
3287,廣寰科,,上櫃
3288,點晶,,上市
3289,宜特,,上櫃
3290,東浦,,上櫃
3293,鈊象,,上市
3294,英濟,,上櫃
3296,勝德,,上市
3297,杭特,,上櫃
3303,岱稜,,上市
3305,昇貿,,上櫃
3306,鼎天,,上櫃
3308,聯德,,上櫃
3310,佳穎,,上市
3311,閎暉,,上櫃
3312,弘憶股,,上市
3313,斐成,,上櫃
3317,尼克森,,上櫃
3321,同泰,,上櫃
3322,建舜電,,上櫃
3323,加百裕,,上櫃
3324,雙鴻,,上市
3325,旭品,,上櫃
3332,幸康,,上櫃
3338,泰碩,,上市
3339,泰谷,,上市
3346,麗清,,上櫃
3349,寶德,,上櫃
3354,律勝,,上櫃
3356,奇偶,,上市
3357,臺慶科,,上市
3360,尚立,,上櫃
3362,先進光,,上市
3363,上詮,,上市
3372,典範,,上櫃
3373,熱映,,上櫃
3374,精材,,上櫃
3376,新日興,,上櫃
3377,健格,,上櫃
3379,彬台,,上櫃
3380,明泰,,上市
3383,新世紀,,上櫃
3388,崇越電,,上櫃
3390,旭軟,,上市
3391,佳得,,上市
3402,漢科,,上市
3406,玉晶光,,上市
3413,京鼎,,上櫃
3416,融程電,,上櫃
3419,譁裕,,上櫃
3426,台興,,上市
3429,彥陽,,上櫃
3430,奇鈦科,,上櫃
3432,台端,,上市
3434,哲固,,上櫃
3437,榮創,,上櫃
3438,類比科,,上櫃
3441,聯一光,,上櫃
3443,創意,,上櫃
3444,利機,,上市
3450,聯鈞,,上櫃
3454,晶睿,,上市
3455,由田,,上市
3465,進泰電子,,上櫃
3466,致振,,上櫃
3479,安勤,,上櫃
3481,群創,,上櫃
3483,力致,,上櫃
3484,崧騰,,上市
3485,敘豐,,上市
3489,森寶,,上櫃
3490,單井,,上市
3491,昇達科,,上櫃
3492,長盛,,上市
3494,誠研,,上市
3498,陽程,,上櫃
3499,環天科,,上市
3501,維熹,,上市
3504,揚明光,,上市
3508,位速,,上櫃
3511,矽瑪,,上市
3512,皇龍,,上市
3515,華擎,,上市
3516,亞帝歐,,上市
3518,柏騰,,上櫃
3520,振維,,上櫃
3521,鴻翊,,上櫃
3522,御頂,,上市
3523,迎輝,,上市
3526,凡甲,,上櫃
3527,聚積,,上櫃
3528,安馳,,上櫃
3529,力旺,,上櫃
3530,晶相光,,上櫃
3531,先益,,上櫃
3532,台勝科,,上櫃
3533,嘉澤,,上櫃
3535,晶彩科,,上櫃
3536,誠創,,上市
3537,堡達,,上櫃
3540,曜越,,上櫃
3541,西柏,,上市
3543,州巧,,上市
3545,敦泰,,上市
3546,宇峻,,上市
3548,兆利,,上櫃
3550,聯穎,,上櫃
3551,世禾,,上市
3552,同致,,上市
3555,重鵬,,上市
3556,禾瑞亞,,上櫃
3557,嘉威,,上市
3558,神準,,上櫃
3563,牧德,,上市
3564,其陽,,上櫃
3567,逸昌,,上櫃
3570,大塚,,上市
3576,聯合再生,,上櫃
3577,泓格,,上櫃
3580,友威科,,上櫃
3581,博磊,,上櫃
3583,辛耘,,上市
3585,聯致,,上市
3587,閎康,,上市
3588,通嘉,,上市
3591,艾笛森,,上市
3592,瑞鼎,,上市
3593,力銘,,上市
3594,磐儀,,上市
3595,山太士,,上市
3596,智易,,上櫃
3597,映興,,上櫃
3601,前源,,上市
3603,建祥國際,,上櫃
3605,宏致,,上市
3607,谷崧,,上櫃
3609,東林,,上市
3611,鼎翰,,上櫃
3615,安可,,上櫃
3617,碩天,,上櫃
3622,洋華,,上櫃
3623,富晶通,,上市
3624,光頡,,上櫃
3625,西勝,,上櫃
3627,華信科,,上櫃
3628,盈正,,上櫃
3629,地心引力,,上櫃
3630,新鉅科,,上櫃
3631,晟楠,,上櫃
3632,研勤,,上櫃
3633,云光,,上櫃
3642,駿熠電,,上市
3645,達邁,,上市
3646,艾恩特,,上櫃
3652,精聯,,上櫃
3653,健策,,上市
3659,百辰,,上市
3661,世芯-KY,,上市
3663,鑫科,,上櫃
3664,安瑞-KY,,上櫃
3665,貿聯-KY,,上櫃
3666,光耀,,上櫃
3669,圓展,,上櫃
3672,康聯訊,,上櫃
3673,TPK-KY,,上櫃
3674,康訊,,上櫃
3675,德微,,上櫃
3678,聯享,,上市
3679,新至陞,,上櫃
3680,家登,,上櫃
3682,亞太電,,上櫃
3684,榮昌,,上櫃
3685,元創精密,,上櫃
3686,達能,,上櫃
3687,歐買尬,,上櫃
3688,華立捷,,上櫃
3689,湧德,,上櫃
3691,碩禾,,上櫃
3693,營邦,塑膠,上市
